s english
n he 299
n e____ 285
n e___ 285
n e__ 285
n e_ 285
n th 274
n _t 233
n ____t 233
n the 233
n ___t 233
n __t 233
n _th 194
n ___th 194
n __th 194
n _the 181
n __the 181
n he_ 162
n he___ 162
n he__ 162
n the__ 146
n the_ 146
n _the_ 146
n d____ 130
n d_ 130
n d___ 130
n d__ 130
n ____o 120
n __o 120
n ___o 120
n _o 120
n __a 112
n ___a 112
n _a 112
n ____a 112
n s__ 111
n s_ 111
n s____ 111
n s___ 111
n ___w 103
n _w 103
n __w 103
n ____w 103
n ,___ 97
n ,____ 97
n ,_ 97
n ,__ 97
n _f 96
n __f 96
n ___f 96
n ____f 96
n f__ 95
n f_ 95
n f____ 95
n f___ 95
n er 94
n r____ 94
n r___ 94
n r__ 94
n r_ 94
n _of__ 93
n __of 93
n of___ 93
n _of_ 93
n __of_ 93
n ___of 93
n of__ 93
n of_ 93
n of 93
n _of 93
n an 78
n at 77
n re 75
n in 63
n her 62
n er__ 61
n er___ 61
n nd 61
n er_ 61
n n_ 59
n n__ 59
n n___ 59
n n____ 59
n ea 57
n ____h 57
n ___h 57
n on 57
n _h 57
n __h 57
n ther 55
n ___l 52
n _l 52
n t_ 52
n t__ 52
n ____l 52
n __l 52
n t____ 52
n t___ 52
n nd__ 51
n nd_ 51
n _fa 51
n __fa 51
n her_ 51
n her__ 51
n fa 51
n ___fa 51
n nd___ 51
n h__ 50
n h____ 50
n h_ 50
n h___ 50
n __an 49
n ___an 49
n _an 49
n ng 49
n ____s 47
n ther_ 47
n ___s 47
n __s 47
n _s 47
n and 47
n .____ 46
n .___ 46
n .__ 46
n ._ 46
n es 46
n and__ 45
n and_ 45
n li 44
n ou 44
n ed 44
n ing 42
n ha 42
n _and_ 41
n __and 41
n _and 41
n ur 41
n __c 39
n fath 39
n _c 39
n athe 39
n ___c 39
n ath 39
n _fat 39
n ather 39
n fathe 39
n ____c 39
n _fath 39
n __fat 39
n fat 39
n as 38
n to 36
n _b 35
n ___b 35
n ____b 35
n __b 35
n ir 35
n o__ 34
n __li 34
n ke 34
n o____ 34
n _li 34
n o___ 34
n ac 34
n o_ 34
n ___li 34
n as___ 33
n as_ 33
n as__ 33
n ar 33
n ed_ 32
n ed___ 32
n ed__ 32
n ro 32
n __to 31
n ___to 31
n y____ 31
n ng___ 31
n ____J 31
n _to 31
n y__ 31
n g____ 31
n g___ 31
n g__ 31
n y_ 31
n ng_ 31
n y___ 31
n g_ 31
n _J 31
n ng__ 31
n ___J 31
n __J 31
n wi 30
n hi 30
n wa 30
n m__ 29
n m_ 29
n m___ 29
n m____ 29
n ve 29
n _A 28
n ___wa 28
n _wi 28
n se 28
n __wa 28
n ____A 28
n __wi 28
n ___A 28
n __A 28
n wh 28
n _wa 28
n ___wi 28
n ing_ 27
n ad 27
n ___wh 27
n ing__ 27
n __wh 27
n _wh 27
n lo 27
n ah 27
n ce 27
n en 26
n _was_ 25
n _was 25
n ___m 25
n ____i 25
n ____m 25
n __i 25
n was__ 25
n ___i 25
n was_ 25
n was 25
n __was 25
n _i 25
n is 25
n __m 25
n _m 25
n al 24
n l__ 24
n mo 24
n l____ 24
n l_ 24
n l___ 24
n to_ 23
n to__ 23
n _to_ 23
n _to__ 23
n to___ 23
n __to_ 23
n re_ 22
n _1 22
n ____1 22
n it 22
n re___ 22
n __1 22
n tu 22
n ik 22
n am 22
n ke_ 22
n re__ 22
n ike 22
n ke__ 22
n ___1 22
n ke___ 22
n ia 22
n like 21
n lik 21
n ll 21
n rea 21
n tur 21
n or 21
n on__ 20
n ure 20
n __lik 20
n id 20
n ike__ 20
n on___ 20
n es___ 20
n os 20
n ch 20
n on_ 20
n el 20
n _like 20
n _lik 20
n ike_ 20
n es_ 20
n ra 20
n es__ 20
n ho 19
n like_ 19
n a_ 19
n ___g 19
n ture 19
n a___ 19
n _g 19
n ere 19
n ____g 19
n fo 19
n __g 19
n a__ 19
n ei 19
n ___cr 19
n om 19
n ri 19
n _cr 19
n a____ 19
n cr 19
n __cr 19
n il 18
n __cre 18
n __fo 18
n th_ 18
n is__ 18
n reatu 18
n th__ 18
n _cre 18
n _a_ 18
n _crea 18
n ___a_ 18
n atu 18
n atur 18
n creat 18
n ey 18
n crea 18
n eatur 18
n ature 18
n be 18
n _a___ 18
n _a__ 18
n __he 18
n _e 18
n __e 18
n is___ 18
n ot 18
n __a_ 18
n is_ 18
n _he 18
n cre 18
n ____e 18
n ___e 18
n _fo 18
n __a__ 18
n eatu 18
n eat 18
n th___ 18
n ___fo 18
n reat 18
n ___he 18
n Th 17
n se_ 17
n se___ 17
n hey 17
n me 17
n us 17
n ___2 17
n ____2 17
n hey_ 17
n __2 17
n ey___ 17
n _2 17
n se__ 17
n ey__ 17
n ey_ 17
n hey__ 17
n le 17
n res 16
n _ha 16
n oo 16
n ee 16
n ures 16
n vi 16
n we 16
n ___Je 16
n _Je 16
n __ha 16
n win 16
n ose 16
n __Je 16
n _mo 16
n iv 16
n ___ha 16
n ove 16
n ____T 16
n ___mo 16
n ov 16
n ul 16
n __T 16
n __mo 16
n Je 16
n _T 16
n ___T 16
n tures 16
n im 16
n so 16
n st 16
n eir 15
n ___I 15
n eir_ 15
n ce_ 15
n __I 15
n ir_ 15
n co 15
n _Th 15
n ir___ 15
n d, 15
n they 15
n they_ 15
n wing 15
n __fou 15
n d,_ 15
n ___Th 15
n _fou 15
n ce___ 15
n _on 15
n __Th 15
n _I 15
n eir__ 15
n _hi 15
n hei 15
n d,__ 15
n ___hi 15
n ad_ 15
n ad__ 15
n ll___ 15
n ll__ 15
n ___on 15
n ad___ 15
n ll_ 15
n our 15
n _they 15
n ir__ 15
n heir 15
n heir_ 15
n ____I 15
n gh 15
n ok 15
n si 15
n fou 15
n ce__ 15
n d,___ 15
n __on 15
n __hi 15
n __had 14
n en__ 14
n __win 14
n _M 14
n _had_ 14
n __whe 14
n ___d 14
n ___M 14
n iah 14
n ____M 14
n at_ 14
n _be 14
n en_ 14
n _whe 14
n ____d 14
n at___ 14
n at__ 14
n _win 14
n had 14
n ig 14
n __d 14
n ch_ 14
n __be 14
n ___be 14
n ch__ 14
n __M 14
n had_ 14
n ch___ 14
n _four 14
n had__ 14
n en___ 14
